name
Suspenders Restaurant and bar
Felice
Murphys Tavern
Inatteso Pizzabar Casano
Gigino At Wagner Park
Mad Dog Beans Mexican Cantina
Roti Modern Mediterranean
Harrys Italian
Ulysses Folk House 
Heidis House By The Side Of The Road
Grazie
La Pulperia UES
Pye Boat Noodle
The Writing Room
Bigoi Venezia
Sojourn
Mei Jin Ramen
Ella Kitchen Bar
B Cafe East
Jora Restaurant Bar
Trattoria Trecolori
Sashimi Ramen Express
Thai Villa
Izakaya NoMad
Pepe Giallo
bea
Ovest Pizzoteca
Dutch Freds
District Tap House
Midwinter Kitchen
Ipanema Restaurant
Barn Joo 35
Woorijip Authentic Korean food
Carroll Place
Song E Napule
DOMODOMO
top Thai Greenwich
Set Les
Verlaine
99 Favor Taste
Balzem
Benemon
Breakroom
Nyonya
Rubirosa
88 Lan Zhou Handmade Noodles
GunBae
Zutto Japanese American Pub
Malatesta Trattoria
Highlands NYC
